paper_id,text_length,num_chunks,has_reference,num_formulas,num_tables,num_figures,time_text_only,time_multimodal,text_rouge1,text_rouge2,text_rougeL,text_bleu,multi_rouge1,multi_rouge2,multi_rougeL,multi_bleu,improvement_rouge1,improvement_rouge2,improvement_rougeL,improvement_bleu
1312.6114v10,52560,66,True,5,0,2,47.21151900291443,50.8478844165802,0.3381642463348037,0.124999995088196,0.27053139609325777,0.06775320743559735,0.3381642463348037,0.10447760708760326,0.29951690333963454,0.05048051772775233,0.0,-16.41791104560668,10.714285907275942,-25.49353803547017
1406.1078v3,51113,63,True,5,2,2,40.6923394203186,54.59166598320007,0.2934782559853498,0.048582990994771764,0.24999999511578458,0.017101071927394646,0.34693877071845075,0.06818181329660274,0.28571428092253237,0.018287018586773673,18.21617569370101,40.3409133536881,14.285714601797148,6.934925859701396
1406.2661v1,39869,50,True,5,2,2,47.57963418960571,59.69854736328125,0.28571428073817673,0.03333332833688964,0.2211981517059187,0.016116720921958736,0.2418604601345593,0.034602071125106985,0.2139534833903733,0.008804552713337396,-15.348837478587306,3.806228935180304,-3.275193874665435,-45.370073999721896
1409.0473v7,53403,65,True,5,2,2,41.99791431427002,60.59500026702881,0.28959275521058137,0.07236841605349757,0.2714932076992691,0.04037302861248436,0.2393162343984222,0.04444443944691414,0.2136752087573966,0.03205516155364735,-17.361111390925473,-38.58586124911306,-21.296296666809084,-20.60253427771063
1409.1556v6,59140,72,True,0,2,0,45.09400391578674,64.12968111038208,0.3124999950322864,0.05147058324502644,0.2678571378894293,0.01708814336510391,0.34513273840198927,0.06360423531571167,0.3008849507913698,0.04941724198825711,10.442478044305679,23.573954880058025,12.330383712072033,189.1902351964883
1409.2329v5,33075,40,True,4,2,2,51.529179096221924,67.8448417186737,0.25252524822365074,0.008474572133368868,0.19191918761759014,0.055993625028829,0.28571428130567456,0.07048457726639393,0.26455026014165345,0.07689263253858161,13.14285732436137,731.7184178403403,37.84461232129892,37.32390517490608
1409.4842v1,46511,58,True,0,2,2,43.42319917678833,71.96020126342773,0.22660098035380632,0.07086613676328389,0.19704433010750091,0.05883631074676293,0.29357797689378,0.09999999513494921,0.26605504111396355,0.06550783208662518,29.557240412375226,41.11111414042782,35.022936701001576,11.339122482674195
1410.5401v2,68445,86,True,5,2,2,48.55336093902588,56.6451096534729,0.1945945901031411,0.0266666623802476,0.17297296848151947,0.006777868362321602,0.2022471864379499,0.018604646771228726,0.19101123138177012,0.01377986968608678,3.9325843183783746,-30.232563393424638,10.428371009992738,103.30683556336884
1410.8516v6,44374,56,True,5,2,2,43.75590920448303,54.3129358291626,0.29464285216836744,0.05901638844310712,0.285714280739796,0.02058746610057626,0.2648401776610163,0.047945200485316725,0.24657533747836793,0.022733693457217256,-10.114847276295379,-18.75951451767203,-13.698630380002754,10.424922358856588
1502.03167v3,50714,66,True,5,2,2,42.95858812332153,54.066349267959595,0.24793387936445607,0.03095974736803844,0.23140495374462136,0.01526596336718242,0.19199999503200013,0.031249995056446097,0.19199999503200013,0.02982257559157389,-22.560000462959984,0.9375001835683497,-17.028571806681615,95.35338107573442
1506.02640,44569,54,True,3,2,2,51.232924461364746,56.23697900772095,0.17241378975492144,0.04830917562603581,0.16091953688135824,0.010015628161192239,0.18867924171195766,0.10471203857350413,0.16352200900755515,0.06398031548033703,9.433962318302285,116.75393383668191,1.6172505692181076,538.8048203331158
1506.03134v2,34790,43,True,5,1,2,48.14443874359131,63.23217296600342,0.3857142807642857,0.0678851126852051,0.3142857093357143,0.0504066415806927,0.342007430049336,0.0438356117629579,0.26765798767015386,0.010064798595320557,-11.331405886332602,-35.426767329338986,-14.836093490892251,-80.0327927437727
1506.04214v2,39955,51,True,4,2,2,50.11026573181152,65.4687340259552,0.23076922587324347,0.007518792040254265,0.21153845664247425,0.006934299629073854,0.22222221732035766,0.022556386025214495,0.21256038157156537,0.014938822956661766,-3.7037037848280954,200.00013172929437,0.48309179584225415,115.43376773087314
1508.04025v5,38369,48,True,5,2,2,40.89172124862671,50.14068007469177,0.22026431218149015,0.020134223193551074,0.22026431218149015,0.012801300656361297,0.26785713786073034,0.03496502999462147,0.23214285214644462,0.017886288563910068,21.607143348771526,73.65969205020363,5.392857266485806,39.7224316813613
1509.06461v3,46817,58,True,5,2,2,43.99517226219177,56.88636112213135,0.23300970376095778,0.03676470089208546,0.20388349016872478,0.009183903957694244,0.28846153349112436,0.08571428073979621,0.2692307642603551,0.02483124818939064,23.798077434171596,133.1428752579581,32.05128283685542,170.3779166656801
1511.02136v6,32902,41,True,5,2,2,42.24699521064758,66.20318603515625,0.3333333285802469,0.041152258561534205,0.23232322757014598,0.07641202659869391,0.31472080742095915,0.04938271123643123,0.24365481757324337,0.07456312424419483,-5.583756427406554,20.000002339094426,4.877510579382773,-2.4196483679320253
1511.06434v2,48266,59,True,0,2,2,52.12740206718445,69.5909914970398,0.27358490080455683,0.0664206592998465,0.2641509385404059,0.04592756557611089,0.23645319705889498,0.023346298541992605,0.21674876356135808,0.03891987611945769,-13.572278161720607,-64.85084793181727,-17.9451094290914,-15.258133908796227
